Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
16/03/2020;Bucaramanga;METROLINEA;72,35;-0,318443017;106,154;70,267;33,354;1
16/03/2020;Pereira;MEGABUS;93,21;-0,273083192;128,221;100,186;52,276;1
16/03/2020;Cartagena;TRANSCARIBE;78,89;-0,436471429;140;95,43;45,203;1
16/03/2020;Barranquilla;TRANSMETRO;105,83;-0,266447642;144,276;110;52;1
16/03/2020;Cali/Valle;MIO;322,66;-0,259958716;436;308,387;149,213;1
16/03/2020;Medellin;SITVA;1435,93;-0,24503438;1901,978;1498,727;780,939;1
17/03/2020;Bucaramanga;METROLINEA;62,70;-0,409386363;106,154;70,267;33,354;2
17/03/2020;Pereira;MEGABUS;81,31;-0,365852707;128,221;100,186;52,276;2
17/03/2020;Cartagena;TRANSCARIBE;60,99;-0,564335714;140;95,43;45,203;2
17/03/2020;Barranquilla;TRANSMETRO;90,53;-0,372494386;144,276;110;52;2
17/03/2020;Cali/Valle;MIO;265,91;-0,390123853;436;308,387;149,213;2
17/03/2020;Medellin;SITVA;1,255,005;-0,340157983;1901,978;1498,727;780,939;2
17/03/2020;Bogota;TRANSMILENIO/SITP;2,637,563;-0,316704322;3860,061;2499,019;1188,607;2
18/03/2020;Bucaramanga;METROLINEA;52,45;-0,505878252;106,154;70,267;33,354;3
18/03/2020;Pereira;MEGABUS;65,50;-0,489139844;128,221;100,186;52,276;3
18/03/2020;Cartagena;TRANSCARIBE;47,30;-0,662142857;140;95,43;45,203;3
18/03/2020;Barranquilla;TRANSMETRO;78,36;-0,45690898;144,276;110;52;3
18/03/2020;Cali/Valle;MIO;233,00;-0,46559633;436;308,387;149,213;3
18/03/2020;Medellin;SITVA;1,125,075;-0,408471076;1901,978;1498,727;780,939;3
18/03/2020;Bogota;TRANSMILENIO/SITP;2,382,931;-0,382670118;3860,061;2499,019;1188,607;3
19/03/2020;Bucaramanga;METROLINEA;46,59;-0,561118752;106,154;70,267;33,354;4
19/03/2020;Pereira;MEGABUS;58,30;-0,54531629;128,221;100,186;52,276;4
19/03/2020;Cartagena;TRANSCARIBE;40,65;-0,70965;140;95,43;45,203;4
19/03/2020;Barranquilla;TRANSMETRO;71,46;-0,504671602;144,276;110;52;4
19/03/2020;Cali/Valle;MIO;215,77;-0,505105505;436;308,387;149,213;4
19/03/2020;Medellin;SITVA;1,062,819;-0,441203316;1901,978;1498,727;780,939;4
19/03/2020;Bogota;TRANSMILENIO/SITP;2,223,115;-0,424072573;3860,061;2499,019;1188,607;4
20/03/2020;Bucaramanga;METROLINEA;39,21;-0,630602709;106,154;70,267;33,354;5
20/03/2020;Pereira;MEGABUS;53,35;-0,583960506;128,221;100,186;52,276;5
20/03/2020;Cartagena;TRANSCARIBE;35,43;-0,746921429;140;95,43;45,203;5
20/03/2020;Barranquilla;TRANSMETRO;65,35;-0,547069506;144,276;110;52;5
20/03/2020;Cali/Valle;MIO;190,04;-0,564137615;436;308,387;149,213;5
20/03/2020;Medellin;SITVA;981,29;-0,484068165;1901,978;1498,727;780,939;5
20/03/2020;Bogota;TRANSMILENIO/SITP;511,35;-0,867526964;3860,061;2499,019;1188,607;5
21/03/2020;Bucaramanga;METROLINEA;9,25;-0,868316564;106,154;70,267;33,354;6
21/03/2020;Pereira;MEGABUS;11,54;-0,884834208;128,221;100,186;52,276;6
21/03/2020;Cartagena;TRANSCARIBE;2,89;-0,969684586;140;95,43;45,203;6
21/03/2020;Barranquilla;TRANSMETRO;38,44;-0,650527273;144,276;110;52;6
21/03/2020;Cali/Valle;MIO;40,12;-0,869906968;436;308,387;149,213;6
21/03/2020;Medellin;SITVA;212,68;-0,858093569;1901,978;1498,727;780,939;6
21/03/2020;Bogota;TRANSMILENIO/SITP;378,22;-0,848653812;3860,061;2499,019;1188,607;6
22/03/2020;Bucaramanga;METROLINEA;6,26;-0,812406308;106,154;70,267;33,354;7
22/03/2020;Pereira;MEGABUS;6,52;-0,875315632;128,221;100,186;1188,607;7
22/03/2020;Cartagena;TRANSCARIBE;1,68;-0,962922815;140;95,43;45,203;7
22/03/2020;Barranquilla;TRANSMETRO;16,88;-0,675384615;144,276;110;52;7
22/03/2020;Cali/Valle;MIO;23,90;-0,83983299;436;308,387;149,213;7
22/03/2020;Medellin;SITVA;124,47;-0,84061111;1901,978;1498,727;780,939;7
22/03/2020;Bogota;TRANSMILENIO/SITP;255,43;-0,785101383;3860,061;2499,019;1188,607;7
23/03/2020;Bucaramanga;METROLINEA;6,27;-0,94098197;106,154;70,267;33,354;1
23/03/2020;Pereira;MEGABUS;7,71;-0,939838248;128,221;100,186;52,276;1
23/03/2020;Cartagena;TRANSCARIBE;1,86;-0,98675;140;95,43;45,203;1
23/03/2020;Barranquilla;TRANSMETRO;18,34;-0,872903324;144,276;110;52;1
23/03/2020;Cali/Valle;MIO;27,00;-0,938075688;436;308,387;149,213;1
23/03/2020;Medellin;SITVA;144,27;-0,924147913;1901,978;1498,727;780,939;1
23/03/2020;Bogota;TRANSMILENIO/SITP;302,41;-0,921655901;3860,061;2499,019;1188,607;1
24/03/2020;Bucaramanga;METROLINEA;24,98;-0,7646815;106,154;70,267;33,354;2
24/03/2020;Pereira;MEGABUS;31,10;-0,75743443;128,221;100,186;52,276;2
24/03/2020;Cartagena;TRANSCARIBE;6,36;-0,954557143;140;95,43;45,203;2
24/03/2020;Barranquilla;TRANSMETRO;48,29;-0,665280435;144,276;110;52;2
24/03/2020;Cali/Valle;MIO;108,92;-0,750174312;436;308,387;149,213;2
24/03/2020;Bogota;TRANSMILENIO/SITP;1082,00;-0,719693549;3860,061;2499,019;1188,607;2
24/03/2020;Medellin;SITVA;457,28;-0,759576083;1901,978;1498,727;780,939;2
25/03/2020;Bucaramanga;METROLINEA;17,63;-0,833948791;106,154;70,267;33,354;3
25/03/2020;Pereira;MEGABUS;16,78;-0,869132201;128,221;100,186;52,276;3
25/03/2020;Cartagena;TRANSCARIBE;6,24;-0,955457143;140;95,43;45,203;3
25/03/2020;Barranquilla;TRANSMETRO;21,97;-0,847708559;144,276;110;52;3
25/03/2020;Cali/Valle;MIO;65,41;-0,849974771;436;308,387;149,213;3
25/03/2020;Medellin;SITVA;268,27;-0,858952101;1901,978;1498,727;780,939;3
25/03/2020;Bogota;TRANSMILENIO/SITP;624,30;-0,838266286;3860,061;2499,019;1188,607;3
26/03/2020;Bucaramanga;METROLINEA;16,82;-0,841569795;106,154;70,267;33,354;4
26/03/2020;Pereira;MEGABUS;18,14;-0,858525515;128,221;100,186;52,276;4
26/03/2020;Cartagena;TRANSCARIBE;5,24;-0,962557143;140;95,43;45,203;4
26/03/2020;Barranquilla;TRANSMETRO;22,47;-0,844284566;144,276;110;52;4
26/03/2020;Cali/Valle;MIO;64,71;-0,851584862;436;308,387;149,213;4
26/03/2020;Medellin;SITVA;264,02;-0,861186617;1901,978;1498,727;780,939;4
26/03/2020;Bogota;TRANSMILENIO/SITP;616,42;-0,840307705;3860,061;2499,019;1188,607;4
27/03/2020;Bucaramanga;METROLINEA;17,42;-0,835917629;106,154;70,267;33,354;5
27/03/2020;Pereira;MEGABUS;18,95;-0,852239493;128,221;100,186;52,276;5
27/03/2020;Cartagena;TRANSCARIBE;5,37;-0,961614286;140;95,43;45,203;5
27/03/2020;Barranquilla;TRANSMETRO;24,08;-0,833090743;144,276;110;52;5
27/03/2020;Cali/Valle;MIO;68,30;-0,843350917;436;308,387;149,213;5
27/03/2020;Medellin;SITVA;270,97;-0,857532527;1901,978;1498,727;780,939;5
27/03/2020;Bogota;TRANSMILENIO/SITP;595,60;-0,845701402;3860,061;2499,019;1188,607;5
28/03/2020;Bucaramanga;METROLINEA;13,36;-0,809910769;106,154;70,267;33,354;6
28/03/2020;Pereira;MEGABUS;15,15;-0,848811211;128,221;100,186;52,276;6
28/03/2020;Cartagena;TRANSCARIBE;3,75;-0,960662266;140;95,43;45,203;6
28/03/2020;Barranquilla;TRANSMETRO;19,21;-0,825327273;144,276;110;52;6
28/03/2020;Cali/Valle;MIO;48,07;-0,844111457;436;308,387;149,213;6
28/03/2020;Medellin;SITVA;211,54;-0,858854214;1901,978;1498,727;780,939;6
28/03/2020;Bogota;TRANSMILENIO/SITP;463,28;-0,814613654;3860,061;2499,019;1188,607;6
29/03/2020;Bucaramanga;METROLINEA;6,82;-0,795466811;106,154;70,267;33,354;7
29/03/2020;Pereira;MEGABUS;7,51;-0,8563203;128,221;100,186;52,276;7
29/03/2020;Cartagena;TRANSCARIBE;1,53;-0,966174811;140;95,43;45,203;7
29/03/2020;Barranquilla;TRANSMETRO;9,85;-0,810615385;144,276;110;52;7
29/03/2020;Cali/Valle;MIO;25,38;-0,829920985;436;308,387;149,213;7
29/03/2020;Medellin;SITVA;103,29;-0,867742551;1901,978;1498,727;780,939;7
29/03/2020;Bogota;TRANSMILENIO/SITP;242,31;-0,796138673;3860,061;2499,019;1188,607;7
30/03/2020;Bucaramanga;METROLINEA;20,77;-0,804387965;106,154;70,267;33,354;1
30/03/2020;Pereira;MEGABUS;20,84;-0,837499318;128,221;100,186;52,276;1
30/03/2020;Cartagena;TRANSCARIBE;4,88;-0,965135714;140;95,43;45,203;1
30/03/2020;Barranquilla;TRANSMETRO;26,39;-0,817065901;144,276;110;52;1
30/03/2020;Cali/Valle;MIO;72,56;-0,833568807;436;308,387;149,213;1
30/03/2020;Medellin;SITVA;277,12;-0,854300102;1901,978;1498,727;780,939;1
30/03/2020;Bogota;TRANSMILENIO/SITP;641,94;-0,833696151;3860,061;2499,019;1188,607;1
31/03/2020;Bucaramanga;METROLINEA;20,16;-0,810058971;106,154;70,267;33,354;2
31/03/2020;Pereira;MEGABUS;20,97;-0,836493242;128,221;100,186;52,276;2
31/03/2020;Cartagena;TRANSCARIBE;4,24;-0,969735714;140;95,43;45,203;2
31/03/2020;Barranquilla;TRANSMETRO;26,25;-0,818029333;144,276;110;52;2
