Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
17/05/2020;Cali/Valle;MIO;40,878;-0,726042637;436;308,387;149,213;7
25/03/2020;Cali/Valle;MIO;65,411;-0,849974771;436;308,387;149,213;3
24/07/2020;Cali/Valle;MIO;162,505;-0,62728211;436;308,387;149,213;5
23/05/2020;Cali/Valle;MIO;97,821;-0,682797913;436;308,387;149,213;6
15/07/2020;Cali/Valle;MIO;165,579;-0,620231651;436;308,387;149,213;3
22/06/2020;Cali/Valle;MIO;53,493;-0,641499065;436;308,387;149,213;1
25/07/2020;Cali/Valle;MIO;123,143;-0,600686799;436;308,387;149,213;6
29/08/2020;Cali/Valle;MIO;118,818;-0,614711385;436;308,387;149,213;6
9/06/2020;Cali/Valle;MIO;152,238;-0,650830275;436;308,387;149,213;2
24/04/2020;Cali/Valle;MIO;90,483;-0,792470183;436;308,387;149,213;5
28/03/2020;Cali/Valle;MIO;48,074;-0,844111457;436;308,387;149,213;6
18/05/2020;Cali/Valle;MIO;118,348;-0,728559633;436;308,387;149,213;1
31/05/2020;Cali/Valle;MIO;46,707;-0,686977676;436;308,387;149,213;7
16/03/2020;Cali/Valle;MIO;322,658;-0,259958716;436;308,387;149,213;1
15/06/2020;Cali/Valle;MIO;53,896;-0,638798228;436;308,387;149,213;1
22/08/2020;Cali/Valle;MIO;118,685;-0,615142662;436;308,387;149,213;6
12/06/2020;Cali/Valle;MIO;153,024;-0,649027523;436;308,387;149,213;5
12/04/2020;Cali/Valle;MIO;26,969;-0,819258376;436;308,387;149,213;7
6/07/2020;Cali/Valle;MIO;171,417;-0,606841743;436;308,387;149,213;1
13/06/2020;Cali/Valle;MIO;117,11;-0,620249881;436;308,387;149,213;6
29/07/2020;Cali/Valle;MIO;156,256;-0,641614679;436;308,387;149,213;3
16/05/2020;Cali/Valle;MIO;;;436;308,387;149,213;6
30/07/2020;Cali/Valle;MIO;161,415;-0,62978211;436;308,387;149,213;4
3/07/2020;Cali/Valle;MIO;172,859;-0,603534404;436;308,387;149,213;5
12/07/2020;Cali/Valle;MIO;55,573;-0,627559261;436;308,387;149,213;7
4/05/2020;Cali/Valle;MIO;108,585;-0,750951835;436;308,387;149,213;1
11/04/2020;Cali/Valle;MIO;43,649;-0,858460311;436;308,387;149,213;6
7/04/2020;Cali/Valle;MIO;74,987;-0,828011468;436;308,387;149,213;2
10/08/2020;Cali/Valle;MIO;168,948;-0,612504587;436;308,387;149,213;1
14/07/2020;Cali/Valle;MIO;166,788;-0,617458716;436;308,387;149,213;2
18/06/2020;Cali/Valle;MIO;157,532;-0,638688073;436;308,387;149,213;4
20/06/2020;Cali/Valle;MIO;121,363;-0,606458768;436;308,387;149,213;6
31/07/2020;Cali/Valle;MIO;165,878;-0,619545872;436;308,387;149,213;5
30/04/2020;Cali/Valle;MIO;104,624;-0,760036697;436;308,387;149,213;4
5/06/2020;Cali/Valle;MIO;149,618;-0,65683945;436;308,387;149,213;5
20/04/2020;Cali/Valle;MIO;88,3;-0,797477064;436;308,387;149,213;1
7/07/2020;Cali/Valle;MIO;169,827;-0,610488532;436;308,387;149,213;2
20/08/2020;Cali/Valle;MIO;160,324;-0,632284404;436;308,387;149,213;4
2/04/2020;Cali/Valle;MIO;76,561;-0,824401376;436;308,387;149,213;4
5/05/2020;Cali/Valle;MIO;106,062;-0,756738532;436;308,387;149,213;2
17/04/2020;Cali/Valle;MIO;83,833;-0,807722477;436;308,387;149,213;5
26/07/2020;Cali/Valle;MIO;52,259;-0,649769122;436;308,387;149,213;7
18/07/2020;Cali/Valle;MIO;116,341;-0,622743501;436;308,387;149,213;6
26/08/2020;Cali/Valle;MIO;160,387;-0,632139908;436;308,387;149,213;3
13/08/2020;Cali/Valle;MIO;161,883;-0,628708716;436;308,387;149,213;4
22/05/2020;Cali/Valle;MIO;123,401;-0,716970183;436;308,387;149,213;5
20/05/2020;Cali/Valle;MIO;119,364;-0,726229358;436;308,387;149,213;3
12/08/2020;Cali/Valle;MIO;165,332;-0,620798165;436;308,387;149,213;3
30/05/2020;Cali/Valle;MIO;99,597;-0,677038915;436;308,387;149,213;6
10/07/2020;Cali/Valle;MIO;163,489;-0,625025229;436;308,387;149,213;5
27/06/2020;Cali/Valle;MIO;128,66;-0,58279694;436;308,387;149,213;6
16/07/2020;Cali/Valle;MIO;163,337;-0,625373853;436;308,387;149,213;4
22/04/2020;Cali/Valle;MIO;89,13;-0,795573394;436;308,387;149,213;3
20/03/2020;Cali/Valle;MIO;190,036;-0,564137615;436;308,387;149,213;5
31/08/2020;Cali/Valle;MIO;160,497;-0,631887615;436;308,387;149,213;1
5/09/2020;Cali/Valle;MIO;135,014;-0,562192959;436;308,387;149,213;6
23/08/2020;Cali/Valle;MIO;50,061;-0,664499742;436;308,387;149,213;7
19/03/2020;Cali/Valle;MIO;215,774;-0,505105505;436;308,387;149,213;4
1/09/2020;Cali/Valle;MIO;173,127;-0,602919725;436;308,387;149,213;2
7/09/2020;Cali/Valle;MIO;178,726;-0,590077982;436;308,387;149,213;1
13/07/2020;Cali/Valle;MIO;160,534;-0,631802752;436;308,387;149,213;1
27/03/2020;Cali/Valle;MIO;68,299;-0,843350917;436;308,387;149,213;5
30/08/2020;Cali/Valle;MIO;53,187;-0,643549825;436;308,387;149,213;7
7/05/2020;Cali/Valle;MIO;109,709;-0,748373853;436;308,387;149,213;4
14/05/2020;Cali/Valle;MIO;113,602;-0,739444954;436;308,387;149,213;4
14/06/2020;Cali/Valle;MIO;53,117;-0,644018953;436;308,387;149,213;7
11/07/2020;Cali/Valle;MIO;125,107;-0,594318178;436;308,387;149,213;6
10/05/2020;Cali/Valle;MIO;40,042;-0,731645366;436;308,387;149,213;7
26/03/2020;Cali/Valle;MIO;64,709;-0,851584862;436;308,387;149,213;4
27/08/2020;Cali/Valle;MIO;160,163;-0,63265367;436;308,387;149,213;4
11/05/2020;Cali/Valle;MIO;113,222;-0,740316514;436;308,387;149,213;1
22/03/2020;Cali/Valle;MIO;23,899;-0,83983299;436;308,387;149,213;7
2/08/2020;Cali/Valle;MIO;56,133;-0,623806237;436;308,387;149,213;7
28/04/2020;Cali/Valle;MIO;93,27;-0,786077982;436;308,387;149,213;2
2/05/2020;Cali/Valle;MIO;63,239;-0,794936233;436;308,387;149,213;6
