Fecha,Ciudad,Sistema,Pasajeros/dia,Variacion Transmilenio,Pasajeros dia tipico laboral,Pasajeros dia sabado,Pasajeros dia festivo,DiaSemana
16/03/2020,Bucaramanga,METROLINEA,7235,-318443017,106154,70267,33354,1
16/03/2020,Pereira,MEGABUS,9321,-273083192,128221,100186,52276,1
16/03/2020,Cartagena,TRANSCARIBE,7889,-436471429,140,9543,45203,1
16/03/2020,Barranquilla,TRANSMETRO,10583,-266447642,144276,110,52,1
16/03/2020,Cali/Valle,MIO,32266,-259958716,436,308387,149213,1
16/03/2020,Medellin,SITVA,143593,-24503438,1901978,1498727,780939,1
17/03/2020,Bucaramanga,METROLINEA,627,-409386363,106154,70267,33354,2
17/03/2020,Pereira,MEGABUS,8131,-365852707,128221,100186,52276,2
17/03/2020,Cartagena,TRANSCARIBE,6099,-564335714,140,9543,45203,2
17/03/2020,Barranquilla,TRANSMETRO,9053,-372494386,144276,110,52,2
17/03/2020,Cali/Valle,MIO,26591,-390123853,436,308387,149213,2
17/03/2020,Medellin,SITVA,1255005,-340157983,1901978,1498727,780939,2
17/03/2020,Bogota,TRANSMILENIO/SITP,2637563,-316704322,3860061,2499019,1188607,2
18/03/2020,Bucaramanga,METROLINEA,5245,-505878252,106154,70267,33354,3
18/03/2020,Pereira,MEGABUS,655,-489139844,128221,100186,52276,3
18/03/2020,Cartagena,TRANSCARIBE,473,-662142857,140,9543,45203,3
18/03/2020,Barranquilla,TRANSMETRO,7836,-45690898,144276,110,52,3
18/03/2020,Cali/Valle,MIO,233,-46559633,436,308387,149213,3
18/03/2020,Medellin,SITVA,1125075,-408471076,1901978,1498727,780939,3
18/03/2020,Bogota,TRANSMILENIO/SITP,2382931,-382670118,3860061,2499019,1188607,3
19/03/2020,Bucaramanga,METROLINEA,4659,-561118752,106154,70267,33354,4
19/03/2020,Pereira,MEGABUS,583,-54531629,128221,100186,52276,4
19/03/2020,Cartagena,TRANSCARIBE,4065,-70965,140,9543,45203,4
19/03/2020,Barranquilla,TRANSMETRO,7146,-504671602,144276,110,52,4
19/03/2020,Cali/Valle,MIO,21577,-505105505,436,308387,149213,4
19/03/2020,Medellin,SITVA,1062819,-441203316,1901978,1498727,780939,4
19/03/2020,Bogota,TRANSMILENIO/SITP,2223115,-424072573,3860061,2499019,1188607,4
20/03/2020,Bucaramanga,METROLINEA,3921,-630602709,106154,70267,33354,5
20/03/2020,Pereira,MEGABUS,5335,-583960506,128221,100186,52276,5
20/03/2020,Cartagena,TRANSCARIBE,3543,-746921429,140,9543,45203,5
20/03/2020,Barranquilla,TRANSMETRO,6535,-547069506,144276,110,52,5
20/03/2020,Cali/Valle,MIO,19004,-564137615,436,308387,149213,5
20/03/2020,Medellin,SITVA,98129,-484068165,1901978,1498727,780939,5
20/03/2020,Bogota,TRANSMILENIO/SITP,51135,-867526964,3860061,2499019,1188607,5
21/03/2020,Bucaramanga,METROLINEA,925,-868316564,106154,70267,33354,6
21/03/2020,Pereira,MEGABUS,1154,-884834208,128221,100186,52276,6
21/03/2020,Cartagena,TRANSCARIBE,289,-969684586,140,9543,45203,6
21/03/2020,Barranquilla,TRANSMETRO,3844,-650527273,144276,110,52,6
21/03/2020,Cali/Valle,MIO,4012,-869906968,436,308387,149213,6
21/03/2020,Medellin,SITVA,21268,-858093569,1901978,1498727,780939,6
21/03/2020,Bogota,TRANSMILENIO/SITP,37822,-848653812,3860061,2499019,1188607,6
22/03/2020,Bucaramanga,METROLINEA,626,-812406308,106154,70267,33354,7
